transcript_stable_ID,Count...1,Count...2,Count...3,Count...4,Count...5
C02F5.1,706,1099,553,178,843
C02F5.10,132,260,178,240,281
C02F5.11,54,406,436,369,177
C02F5.12,102,163,138,93,87
C02F5.13,121,131,158,155,230
C02F5.14,36,24,82,96,37
C02F5.2,20,48,10,3,24
C02F5.3,1080,4188,4529,1911,1799
C02F5.4,206,186,163,106,357
C02F5.5,23,15,16,50,4
C02F5.6,79,128,140,122,98
C02F5.7,141,191,183,27,143
C02F5.8,23,250,270,127,80
C02F5.9,1027,987,810,1021,1175
C02G6.1,14,78,63,36,42
C02G6.2,1,2,2,2,1
C02G6.3,0,6,4,2,1
C02H6.1,0,7,16,2,1
C02H6.2,54,179,186,131,75
C02H7.1,14,39,48,42,28
C02H7.2,1,6,6,0,3
C02H7.3,86,220,208,58,76
C03A3.1,23,136,48,8,30
C03A3.2,84,52,48,18,43
C03A3.3,1,7,7,3,1
C03A7.10,3,0,0,0,0
C03A7.11,70,275,117,47,154
C03A7.12,11,30,34,6,28
C03A7.13,16,22,41,56,26
C03A7.14,9,106,42,27,10
C03A7.2,0,8,5,0,8
C03A7.3,0,0,1,3,2
C03A7.4,1,22,16,5,2
C03A7.5,0,13,11,12,2
C03A7.6,0,0,0,4,0
C03A7.7,3,23,15,4,2
C03A7.8,2,33,19,11,8
C03A7.9,0,0,0,0,0
C03B1.1,0,7,10,5,3
C03B1.10,2,14,15,8,4
C03B1.12,920,2402,1657,755,1324
C03B1.13,25,55,74,56,81
C03B1.14,82,298,180,212,166
C03B1.2,0,7,22,5,3
C03B1.3,0,2,1,4,0
C03B1.4,0,0,6,8,0
C03B1.5,1,11,5,12,0
C03B1.6,1,0,0,3,0
C03B1.7,102,160,123,69,180
C03B1.9,0,2,0,5,1
C03B8.2,149,303,692,590,251
C03B8.3,15,47,48,35,20
C03B8.4,1743,3682,3124,1092,2836
C03C10.1,1173,1744,1301,510,994
